interceptions_overall_ability,fouls_commiting,stamina_rating,positions_played,leadership_measure,passing,physical,gk_ability,skill,positioning_sense
5.33,4.0,5.33,5.33,3.67,4.33,6.0,9.33,3.33,5.33
8.33,4.33,8.67,9.33,6.67,8.33,8.67,7.0,8.0,8.33
5.67,3.33,4.0,4.0,3.0,7.67,2.33,1.0,7.67,7.0
4.67,2.33,5.0,5.33,5.33,4.33,5.0,5.0,4.0,5.0
3.0,8.0,5.33,3.0,1.0,3.67,6.33,7.67,3.0,2.67
7.0,3.0,6.0,5.33,6.33,7.33,7.0,2.67,8.33,8.0
4.67,3.33,5.67,4.33,4.67,5.0,7.67,4.33,5.33,7.33
3.67,5.33,5.0,2.0,3.0,2.33,3.33,1.33,2.33,4.33
8.33,8.67,8.67,5.33,6.0,7.67,7.67,2.67,8.33,8.33
6.0,3.33,4.0,5.0,4.67,6.0,7.33,2.33,5.33,6.33
8.0,2.33,8.33,7.67,7.0,7.33,5.0,5.0,7.0,8.0
6.0,2.0,6.33,4.0,2.67,6.67,4.67,2.33,6.67,7.33
4.0,3.33,6.0,4.67,2.33,5.0,3.0,2.0,4.0,5.33
5.67,3.67,4.0,3.0,7.33,4.33,8.33,3.33,3.33,5.67
8.0,6.0,7.67,5.33,6.33,7.67,6.33,2.67,7.33,8.0
1.0,1.0,2.33,1.0,1.33,3.67,1.67,7.67,1.33,3.0
7.33,2.33,6.0,5.67,2.67,7.67,4.33,2.33,6.67,7.33
5.0,6.0,6.33,5.33,2.67,5.33,7.67,2.33,6.0,5.67
8.33,3.0,8.33,8.0,7.67,8.67,8.33,3.67,9.0,8.67
5.67,3.67,6.0,6.0,3.33,6.33,6.67,8.67,5.33,5.33
,,,,,,,,,
1.33,1.0,2.67,1.0,3.0,3.67,2.67,7.33,1.67,2.33
4.0,2.5,3.0,3.5,2.0,4.0,3.5,2.5,3.5,5.5
8.67,2.33,9.0,7.33,7.67,8.33,9.67,3.67,9.33,9.0
7.0,7.0,6.0,6.0,1.0,7.0,6.0,1.0,7.0,7.0
7.5,6.0,6.5,6.5,5.0,8.0,6.5,1.0,8.5,7.0
4.0,3.0,7.0,4.0,4.0,5.0,4.0,1.0,5.0,4.0
1.67,2.67,2.67,2.33,1.0,1.67,1.33,2.33,1.33,1.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0
7.0,4.0,5.0,5.0,4.0,7.0,5.0,1.0,7.0,7.0
6.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0
,,,,,,,,,
4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0
,,,,,,,,,
7.0,5.0,7.0,5.0,4.0,7.0,6.0,1.0,7.0,6.0
6.0,9.0,7.0,6.0,4.0,7.0,7.0,1.0,7.0,6.0
7.0,6.0,7.0,7.0,3.0,7.0,8.0,1.0,8.0,7.0
,,,,,,,,,
,,,,,,,,,
7.0,4.0,7.0,6.0,4.0,6.0,6.0,1.0,7.0,7.0
6.0,4.0,6.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0
,,,,,,,,,
5.0,4.0,5.0,4.0,4.0,6.0,6.0,1.0,5.0,5.0
5.0,3.5,7.0,3.5,3.0,5.0,8.0,8.0,5.5,5.5
